Critical Date Report ID,Report Date,Depository,Account Number,Event ID,CA ID,Event Reference,Security Name,Security Code,CUSIP,ISIN,Event Type,Sub Event Type,Expiry Date,Response Deadline,Check Expiry Date,In Voluntary Events Schedule Flag,VES Match Method,Duplicate Removed Flag,Odd Lot Offer Flag,Mandatory Event Flag,Remarks,Research Outcome,Added To VES Flag,Forwarded To Officer Flag,Final Disposition
CDR-0050001,2025-06-01,DTC,ACCT-671269,VES-030077,BNK-0600077,DEP-09000077,Glenmoor Holdings plc,S401117,HMWNR09HK,CAHMWNR09HK6,Consent Solicitation,,2025-06-15,2025-06-13,2025-06-15,Y,Depo Event ID,N,N,N,Duplicate from prior report; removed.,Under Review,N,Y,Closed
CDR-0050002,2025-06-01,Euroclear,,VES-030012,BNK-0600012,DEP-09000012,Doverpoint Logistics AG,S261918,2KJYFZQOM,GB2KJYFZQOM3,Mini-Tender,,2025-06-15,2025-06-13,2025-06-15,Y,ISIN,N,N,N,Already in VES; monitoring only.,Resolved,N,Y,Awaiting Documentation
CDR-0050003,2025-06-01,CDS,,VES-030060,BNK-0600060,DEP-09000060,Fairhaven Logistics AG,S951288,EKLS5ZYG2,CAEKLS5ZYG24,Consent Solicitation,,2025-06-22,2025-06-20,2025-06-22,Y,Depo Event ID,N,N,N,Within 15BD window; routed to Processing Officer.,,N,Y,Awaiting Documentation
CDR-0050004,2025-06-08,Euroclear,,VES-030012,BNK-0600012,DEP-09000012,Doverpoint Logistics AG,S261918,2KJYFZQOM,GB2KJYFZQOM3,Mini-Tender,,2025-06-15,2025-06-13,2025-06-15,Y,CUSIP,N,N,N,Within 15BD window; routed to Processing Officer.,Resolved,N,Y,Awaiting Documentation
CDR-0050005,2025-06-08,DTC,ACCT-846491,VES-030077,BNK-0600077,DEP-09000077,Glenmoor Holdings plc,S401117,HMWNR09HK,CAHMWNR09HK6,Consent Solicitation,,2025-06-15,2025-06-13,2025-06-15,Y,Depo Event ID,N,N,N,,,N,Y,Monitored
CDR-0050006,2025-06-08,Euroclear,,VES-030141,BNK-0600141,DEP-09000141,Juniper Resources AG,S873587,H9GTF85MN,GBH9GTF85MN0,Monthly Redemption Privilege,,2025-06-29,2025-06-27,2025-06-29,N,,N,N,N,Newly identified; added to VES.,Confirmed,Y,Y,Closed
CDR-0050007,2025-06-08,I&TS,,VES-030010,BNK-0600010,DEP-09000010,Evergreen Resources Corp,S740340,JSRFS7ZJF,CAJSRFS7ZJF3,Annual Redemption Privilege,,2025-06-17,2025-06-15,2025-06-17,N,,N,N,N,,Resolved,Y,Y,Awaiting Election
CDR-0050008,2025-06-08,CDS,,VES-030060,BNK-0600060,DEP-09000060,Fairhaven Logistics AG,S951288,EKLS5ZYG2,CAEKLS5ZYG24,Consent Solicitation,,2025-06-22,2025-06-20,2025-06-22,N,,N,N,N,,Resolved,Y,Y,Closed
CDR-0050009,2025-06-08,DTC,ACCT-919412,VES-030147,BNK-0600147,DEP-09000147,Cedarwood Logistics Ltd,S427498,4K56TL7AF,CA4K56TL7AF0,Monthly Redemption Privilege,,2025-06-26,2025-06-24,2025-06-26,Y,Manual,N,N,N,Multi-depository; using bulk-of-holdings expiry.,Resolved,N,Y,Closed
CDR-0050010,2025-06-15,DTC,ACCT-541232,VES-030077,BNK-0600077,DEP-09000077,Glenmoor Holdings plc,S401117,HMWNR09HK,CAHMWNR09HK6,Consent Solicitation,,2025-06-15,2025-06-13,2025-06-15,Y,CUSIP,N,N,N,Already in VES; monitoring only.,Confirmed,N,Y,Awaiting Election
