Entitlement Event ID,Event Type,Report Number,Report Date,Security Code,CUSIP,ISIN,Depository,Record Date,Ex Date,Pay Date,Due Bill End Date,Rate,Declared Security Rate,Box Position,Depository Position,Broadridge Position,Position Reconciled Flag,P&S Report Required Flag,P&S Report Number,Daily Trades Quantity,Transfer In/Out Adjustment Quantity,Distribution Booking Date,Book Longs Date,Book Shorts Date,Shares Received Quantity,Excess Shares Quantity,Fractional Shares Flag,Cash In Lieu Required Flag,Cash In Lieu Amount,Taxable Event Flag,Fair Market Value,RAJ Entry Required Flag,RAJ Entry Amount,Tax Reporting Form,Worksheet Created Flag,Takeoff Tab Completed Flag,Booking Tab Completed Flag,Notice Tab Completed Flag,Final Break Amount,Final Status
ENT-060001,Taxable Stock Dividend,R-10436,2025-12-08,S063931,84TO591S1,KY84TO591S15,DTC,2025-12-08,2025-12-08,2025-12-18,,2.2798,2.3904,60398,60362,60409,N,Y,PS-43444,321,-107,2025-12-19,2025-12-18,2025-12-19,137695,48,Y,Y,59.98,Y,270.31,Y,1299.5,1099-DIV,Y,Y,N,Y,139.73,Pending Reconciliation
ENT-060002,Optional Stock Dividend,R-74011,2026-01-06,S068458,PR4M98UVB,USPR4M98UVB4,CDS,2026-01-06,2026-01-08,2026-01-20,,1.506,1.457,80236,80267,80244,N,Y,PS-89610,561,-446,2026-01-21,2026-01-20,2026-01-21,120835,6,N,N,0,Y,192.94,Y,580.27,T3,Y,Y,N,Y,488.3,Pending Reconciliation
ENT-060003,Optional Stock Dividend,R-75332,2025-07-14,S815467,H5VJV2PUJ,USH5VJV2PUJ7,Euroclear,2025-07-14,2025-07-14,2025-07-23,,0.9849,1.0145,84291,84290,84341,N,Y,PS-67132,898,-465,2025-07-24,2025-07-23,2025-07-24,83018,11,N,N,0,Y,165.96,Y,2286.25,T3,Y,Y,N,Y,123.71,Pending Reconciliation
ENT-060004,Cash In Lieu,R-10489,2026-02-21,S854237,O3QRU2X83,CAO3QRU2X838,Euroclear,2026-02-21,2026-02-22,2026-03-02,,2.6006,2.619,31416,31366,31372,N,Y,PS-15889,645,67,2026-03-03,2026-03-02,2026-03-03,81700,1,N,N,0,N,,N,,,Y,Y,N,Y,395.56,Pending Reconciliation
ENT-060005,Taxable Stock Dividend,R-87694,2025-10-23,S318943,2EPJ4KOM6,GB2EPJ4KOM66,CDS,2025-10-23,2025-10-25,2025-10-29,,1.39,1.4251,49179,49203,49150,N,Y,PS-72488,1315,169,2025-10-30,2025-10-29,2025-10-30,68358,36,Y,Y,195.98,Y,286.25,Y,4903.95,T5,Y,Y,N,Y,321.54,Pending Reconciliation
ENT-060006,Cash In Lieu,R-38231,2026-03-27,S793154,GKHRT44H6,BMGKHRT44H63,DTC,2026-03-27,2026-03-28,2026-03-30,,0.1293,0.1229,11320,11319,11321,Y,N,,164,-130,2026-03-31,2026-03-30,2026-03-31,1463,20,N,N,0,N,,N,,,Y,Y,Y,Y,0,Closed
ENT-060007,Taxable Stock Dividend,R-80844,2025-08-04,S257090,YSJU4S4RP,BMYSJU4S4RP1,CDS,2025-08-04,2025-08-04,2025-08-07,,2.4863,2.4825,2929,2928,2972,N,Y,PS-35119,1948,-357,2025-08-08,2025-08-07,2025-08-08,7282,45,N,N,0,Y,71.9,Y,2936.15,1099-B,Y,Y,N,Y,437.3,Pending Reconciliation
ENT-060008,Due Bill Event,R-68617,2025-09-14,S659233,MFJ6SEMJ8,KYMFJ6SEMJ83,CDS,2025-09-14,2025-09-14,2025-09-21,2025-09-23,1.9793,2.0696,96146,96185,96183,N,Y,PS-70280,1760,101,2025-09-22,2025-09-21,2025-09-22,190301,31,N,N,0,N,,N,,,Y,Y,N,Y,444.37,Pending Reconciliation
ENT-060009,Cash In Lieu,R-37624,2025-07-23,S783354,G6HZMB3GD,USG6HZMB3GD0,I&TS,2025-07-23,2025-07-25,2025-08-01,,0.7826,0.7741,19365,19345,19406,N,Y,PS-17126,707,-125,2025-08-02,2025-08-01,2025-08-02,15155,36,N,N,0,N,,N,,,Y,Y,N,Y,315.4,Pending Reconciliation
ENT-060010,Taxable Stock Dividend,R-63845,2025-08-04,S028611,HCTD25I0Y,BMHCTD25I0Y7,DTC,2025-08-04,2025-08-04,2025-08-16,,1.8994,1.9551,20387,20389,20404,N,Y,PS-46790,1137,-442,2025-08-17,2025-08-16,2025-08-17,38723,37,Y,Y,134.13,Y,443.05,Y,1397.23,,Y,Y,N,Y,401.64,Pending Reconciliation
ENT-060011,Taxable Stock Dividend,R-39621,2025-12-09,S261918,2KJYFZQOM,GB2KJYFZQOM3,Euroclear,2025-12-09,2025-12-11,2025-12-13,,2.4454,2.4886,77669,77653,77625,N,Y,PS-22508,259,-182,2025-12-14,2025-12-13,2025-12-14,189931,35,Y,Y,106.7,Y,465.82,Y,280.36,T3,Y,Y,N,Y,165.79,Pending Reconciliation
ENT-060012,Due Bill Event,R-56846,2025-10-07,S037639,RBSOBVMN5,KYRBSOBVMN59,DTC,2025-10-07,2025-10-07,2025-10-18,2025-10-20,2.8505,2.9749,24871,24919,24871,N,Y,PS-88188,987,-433,2025-10-19,2025-10-18,2025-10-19,70894,16,N,N,0,N,,N,,,Y,Y,N,Y,215.13,Pending Reconciliation
ENT-060013,Taxable Stock Dividend,R-41732,2026-03-13,S815467,H5VJV2PUJ,USH5VJV2PUJ7,Euroclear,2026-03-13,2026-03-14,2026-03-16,,1.2475,1.2138,60453,60437,60489,N,Y,PS-73493,820,91,2026-03-17,2026-03-16,2026-03-17,75415,14,N,N,0,Y,187.73,Y,1617.74,1099-B,Y,Y,N,Y,442.97,Pending Reconciliation
ENT-060014,Cash In Lieu,R-95026,2025-09-24,S205100,9F29Z3D8B,GB9F29Z3D8B5,Euroclear,2025-09-24,2025-09-25,2025-10-05,,1.1265,1.1261,59564,59551,59608,N,Y,PS-30590,1047,-306,2025-10-06,2025-10-05,2025-10-06,67098,8,N,N,0,N,,N,,,Y,Y,N,Y,41.3,Pending Reconciliation
ENT-060015,Spin-Off,R-17685,2025-10-15,S086943,WJ0U8M084,BMWJ0U8M0845,I&TS,2025-10-15,2025-10-16,2025-10-24,,1.4953,1.5694,69085,69134,69077,N,Y,PS-92305,1958,-248,2025-10-25,2025-10-24,2025-10-25,103302,10,Y,Y,205.85,N,,N,,,Y,Y,N,Y,314.91,Pending Reconciliation
ENT-060016,Taxable Stock Dividend,R-90854,2026-03-31,S233668,TUTZBQQBM,BMTUTZBQQBM4,CDS,2026-03-31,2026-04-02,2026-04-08,,1.5894,1.6652,81534,81512,81491,N,Y,PS-98066,1939,86,2026-04-09,2026-04-08,2026-04-09,129590,17,N,N,0,Y,365.84,Y,3473.95,T3,Y,Y,N,Y,6.48,Pending Reconciliation
ENT-060017,Rights Issue,R-78494,2026-04-03,S257090,YSJU4S4RP,BMYSJU4S4RP1,DTC,2026-04-03,2026-04-05,2026-04-16,,1.485,1.5161,12488,12488,12486,Y,N,,1119,-180,2026-04-17,2026-04-16,2026-04-17,18544,23,N,N,0,N,,N,,,Y,Y,Y,Y,0,Closed
ENT-060018,Taxable Stock Dividend,R-39571,2026-02-07,S405208,DA02RJ5DC,GBDA02RJ5DC9,CDS,2026-02-07,2026-02-07,2026-02-14,,2.4291,2.4712,61212,61187,61169,N,Y,PS-22123,1196,-388,2026-02-15,2026-02-14,2026-02-15,148690,1,Y,Y,159.77,Y,101.53,Y,1299.64,1099-B,Y,Y,N,Y,278.37,Pending Reconciliation
ENT-060019,Stock Split,R-14425,2026-02-14,S271586,ZM2NGCQVP,CAZM2NGCQVP3,I&TS,2026-02-14,2026-02-16,2026-02-18,,0.1892,0.1848,78970,78984,78952,N,Y,PS-74809,1379,-328,2026-02-19,2026-02-18,2026-02-19,14941,16,N,N,0,N,,N,,,Y,Y,N,Y,394.01,Pending Reconciliation
ENT-060020,Stock Dividend,R-49841,2026-03-01,S016798,NIM4FYJ1L,BMNIM4FYJ1L8,Euroclear,2026-03-01,2026-03-01,2026-03-06,,2.0493,1.9563,56651,56651,56608,N,Y,PS-39729,1127,285,2026-03-07,2026-03-06,2026-03-07,116094,17,N,N,0,N,,N,,,Y,Y,N,Y,37.48,Pending Reconciliation
ENT-060021,Due Bill Event,R-59966,2025-08-28,S016798,NIM4FYJ1L,BMNIM4FYJ1L8,Euroclear,2025-08-28,2025-08-29,2025-09-03,2025-09-05,2.0891,2.0627,9065,9031,9102,N,Y,PS-98658,211,83,2025-09-04,2025-09-03,2025-09-04,18937,31,Y,Y,35.47,N,,N,,,Y,Y,N,Y,5.35,Pending Reconciliation
ENT-060022,Optional Stock Dividend,R-68459,2025-08-05,S505299,JDI5ESH71,CAJDI5ESH710,DTC,2025-08-05,2025-08-07,2025-08-09,,0.8526,0.8939,82355,82398,82389,N,Y,PS-16459,146,-210,2025-08-10,2025-08-09,2025-08-10,70215,12,Y,Y,13.09,Y,313.81,Y,3845.3,T3,Y,Y,N,Y,176.03,Pending Reconciliation
