Bond Event ID,Depository,Report Source,Report ID,CUSIP,ISIN,ADP Code,Security Description,Currency,Principal Amount,Interest Amount,Net Amount,Payment Rate,Maturity Date,Payment Date,Value Date,Payment Received Date,Payment Received Flag,Greater Than 5MM Flag,Control Account From,Control Account To,Reorg Bond Control Account,Manual Journal Required Flag,JEFE Required Flag,Journal Reference ID,Journal Status,Backdated Entry Flag,Client Payment Processed Flag,Payment Sheet Created Flag,Physical Certificate Flag,Certificate Number,Vault Box Account,Transfer Box Account,Computershare Sent Date,Courier Tracking Reference,Principal Interest Split Required Flag,Email Notification Sent Flag,Final Reconciliation Status
BND-050001,DTC,DTC Full Call,RPT-DTC-301387,74MRZA1Z1,KY74MRZA1Z15,EGD7CG,Northstar Bio SE Conv 4.5% 2027,EUR,5393854.38,210363.63,5604218.01,102.3625,2025-07-23,2025-07-23,2025-07-23,2025-07-23,Y,Y,CA-35463,CA-33874,RBA-4998,N,N,,,N,Y,Y,Y,CERT-725557,VLT-627,XFR-502,2025-07-10,TRK892407505,Y,Y,Variance Investigation
BND-050002,Euroclear,Euroclear Final Redemption,RPT-Euroclear-208025,IOQSTII9A,CAIOQSTII9A6,4KLCDZ,Juniper Mining plc Conv 4.5% 2027,USD,7380241.95,29861.78,7410103.73,101.8414,2026-02-04,2026-02-04,2026-02-04,,N,Y,CA-64001,CA-52928,RBA-3866,Y,Y,JRN-500297,Posted,N,N,N,N,,,,,,Y,Y,Variance Investigation
BND-050003,State of Israel,Israel Physical Cert Maturity,RPT-State of Israel-726293,PEM59EVCX,BMPEM59EVCX8,R2SBMH,Meadowfield Holdings AG Conv 4.5% 2027,GBP,680574.01,23009.86,703583.87,99.6894,2026-03-20,2026-03-20,2026-03-20,2026-03-20,Y,N,CA-79046,CA-70197,RBA-1396,N,N,,,N,Y,Y,Y,CERT-530446,VLT-683,XFR-722,2026-03-14,TRK363701271,Y,N,Reconciled
BND-050004,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-563021,T1AU71G4R,CAT1AU71G4R5,6387KI,Oakhill Capital NV Conv 4.5% 2027,CAD,12606436.66,136117.94,12742554.6,103.1549,2026-03-26,2026-03-26,2026-03-26,2026-03-28,Y,Y,CA-99186,CA-87429,RBA-1634,N,N,,,N,Y,Y,N,,,,,,N,Y,Variance Investigation
BND-050005,DTC,DTC Full Call,RPT-DTC-336956,V68R6266H,GBV68R6266H2,SV4QNR,Ironbridge Media SE FRN 2030,USD,3895763.8,105862.47,4001626.27,97.1218,2026-03-24,2026-03-24,2026-03-24,2026-03-26,Y,N,CA-90013,CA-73481,RBA-3891,N,N,,,N,Y,Y,N,,,,,,N,Y,Reconciled
BND-050006,DTC,DTC Maturity (Not Bond Desk),RPT-DTC-100304,CLUG2YRGC,CACLUG2YRGC1,M72TRY,Umbra Mining Inc 6.00% 2028,GBP,20868959.8,758506.31,21627466.11,102.893,2025-08-04,2025-08-04,2025-08-04,2025-08-04,Y,Y,CA-46217,CA-77183,RBA-5362,Y,Y,JRN-601277,Approved,N,Y,Y,N,,,,,,Y,Y,Variance Investigation
BND-050007,Euroclear,Euroclear Final Redemption,RPT-Euroclear-915346,A6CHJ9LMK,KYA6CHJ9LMK0,5SC85W,Larkspur Bank SA 6.00% 2028,CAD,17656306.23,485038.98,18141345.21,104.5056,2026-01-05,2026-01-05,2026-01-05,2026-01-07,Y,Y,CA-13406,CA-45789,RBA-9582,N,N,,,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050008,DTC,DTC Full Call,RPT-DTC-677758,V0LFPC6B6,USV0LFPC6B66,X7A0PZ,Glenmoor Properties NV 6.00% 2028,USD,17648293.28,258477.16,17906770.44,102.1595,2025-09-27,2025-09-27,2025-09-27,2025-09-30,Y,Y,CA-80176,CA-67719,RBA-1568,N,N,,,N,Y,Y,N,,,,,,Y,Y,Variance Investigation
BND-050009,DTC,DTC Maturity (Not Bond Desk),RPT-DTC-623155,D8W72I6BN,GBD8W72I6BN5,Y7MQMB,Juniper Bio Inc Conv 4.5% 2027,EUR,12373365.6,275448.74,12648814.34,103.1952,2025-06-21,2025-06-21,2025-06-21,2025-06-21,Y,Y,CA-69117,CA-28542,RBA-3725,Y,Y,JRN-178014,Approved,N,Y,Y,N,,,,,,N,Y,In Progress
BND-050010,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-368212,243Q63M0K,GB243Q63M0K8,XYN1Q0,Yarrow Aerospace SA 6.00% 2028,GBP,7732644.6,199104.76,7931749.359999999,99.5126,2025-09-10,2025-09-10,2025-09-10,2025-09-11,Y,Y,CA-99062,CA-23270,RBA-7542,Y,N,JRN-848005,Pending Approval,N,Y,Y,N,,,,,,N,Y,Reconciled
BND-050011,Euroclear,Euroclear Final Redemption,RPT-Euroclear-486649,LW843F2IV,KYLW843F2IV3,DXZOVN,Kestrel Industries NV 6.00% 2028,USD,9623741.13,369646.45,9993387.58,102.2479,2026-01-24,2026-01-24,2026-01-24,2026-01-25,Y,Y,CA-13825,CA-33085,RBA-8594,Y,Y,JRN-939964,Approved,Y,Y,Y,N,,,,,,N,Y,In Progress
BND-050012,DTC,DTC Full Call,RPT-DTC-850200,2O31OBP1J,CA2O31OBP1J6,DVB3WL,Cedarwood Bio Inc FRN 2030,USD,19288583.74,664700.81,19953284.549999997,102.2653,2025-08-27,2025-08-27,2025-08-27,2025-08-28,Y,Y,CA-73110,CA-19895,RBA-9202,Y,Y,JRN-938019,Approved,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050013,CDS,CDS Daily Redemption,RPT-CDS-843507,MATWH65DV,KYMATWH65DV8,KFKEUR,Nightingale Media plc 6.00% 2028,GBP,12016508.51,15426.88,12031935.39,99.992,2025-06-20,2025-06-20,2025-06-20,2025-06-20,Y,Y,CA-12105,CA-14713,RBA-1965,N,N,,,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050014,Euroclear,Euroclear Final Redemption,RPT-Euroclear-320755,UEDF3YTOR,USUEDF3YTOR2,7O3MDS,Pinewright Properties NV 5.25% 2031,USD,3523187.62,112313.58,3635501.2,95.2529,2025-12-14,2025-12-14,2025-12-14,2025-12-16,Y,N,CA-46121,CA-64113,RBA-1089,Y,Y,JRN-766596,Reversed,N,Y,Y,N,,,,,,N,N,Variance Investigation
