Mandatory Event ID,Depository Event ID,Event Source,Event Type,Entry Code,Event Status,Business Line,Security Name,Security Code,CUSIP,ISIN,Jurisdiction,Depository,Depository Account,Submit/Hold Indicator,Submit/Hold Security Name,Submit/Hold Security Code,Submit/Hold ISIN,Submit/Hold Rate,Receive Security Name,Receive Security Code,Receive ISIN,Receive Rate,Receive Currency,Cash Rate,Record Date,Ex Date,Anticipated Payable Date,Actual Payable Date,Publish Date,Holder Count,Total Holdings,Control Account,Payment Required Flag,Payment Received Flag,Payment Processed Flag,Discrepancy Flag,Discrepancy Resolution Notes,Published to DSNet Flag,Published By,Reviewed By,Final Status
MEQ-040001,DEP-91000001,Euroclear,ADR Termination,ADRT,Published,Capital Markets,Fairhaven Energy AG,S137496,1584IYRSN,CA1584IYRSN6,Cayman Islands,DTC,DA-4890,Hold,Fairhaven Energy AG,S137496,CA1584IYRSN6,3.3339,Zephyr Technology Inc,S650358,CA8V5SCD7TS3,2.2885,USD,43.4433,2026-04-27,2026-04-28,2026-05-06,,2026-04-21,2772,9175320,CA-52831,Y,N,N,N,,Y,Pub B,Rev 1,In Progress
MEQ-040002,DEP-91000002,CDS,Warrant Expiration,WEXP,Closed,Direct Investing,Pinewright Mining NV,S559928,ZN4HP21M8,USZN4HP21M83,United States,CDS,DA-1633,Hold,Pinewright Mining NV,S559928,USZN4HP21M83,1.6732,,,,,,,2025-06-19,2025-06-21,2025-06-26,,2025-06-09,1932,7886424,CA-33172,N,N,N,N,,Y,Pub A,Rev 1,In Progress
MEQ-040003,DEP-91000003,Euroclear,Unit Split,USPL,Closed,Direct Investing,Zephyr Properties SE,S031501,E04ZI7CNK,CAE04ZI7CNK2,United States,CDS,DA-6726,Submit,Zephyr Properties SE,S031501,CAE04ZI7CNK2,3.2597,Ironbridge Energy SE,S815678,GBTB8CO0UAE2,2.3985,EUR,26.0613,2025-08-05,2025-08-05,2025-08-18,2025-08-19,2025-07-27,974,2507076,CA-85081,Y,Y,Y,N,,Y,Pub B,Rev 2,Completed
MEQ-040004,DEP-91000004,Broadridge,Pushout / Cancellation,PUSH,Published,Capital Markets,Fairhaven Bio SA,S320626,2YG3UK0V0,BM2YG3UK0V02,Bermuda,CDS,DA-5717,Submit,Fairhaven Bio SA,S320626,BM2YG3UK0V02,1.6333,,,,,,29.7335,2025-10-02,2025-10-04,2025-10-11,2025-10-13,2025-09-28,3987,6670251,CA-75462,Y,Y,Y,N,,Y,Pub C,Rev 2,Completed
MEQ-040005,DEP-91000005,DTC,No Payment / Deemed Worthless,NPMT,Published,Asset Servicing,Westmark Technology plc,S959780,REPZHFPJP,USREPZHFPJP8,Bermuda,Euroclear,DA-8632,Submit,Westmark Technology plc,S959780,USREPZHFPJP8,0.6187,,,,,,,2026-03-14,2026-03-14,2026-03-26,,2026-03-09,1802,893792,CA-23270,N,N,N,N,,Y,Pub A,Rev 3,In Progress
MEQ-040006,DEP-91000006,CDS,Pushout / Cancellation,PUSH,Published,Asset Servicing,Meadowfield Bio Ltd,S882089,BNWJM9ZT4,USBNWJM9ZT49,Cayman Islands,CDS,DA-1594,Hold,Meadowfield Bio Ltd,S882089,USBNWJM9ZT49,3.9023,,,,,,24.9847,2026-04-23,2026-04-23,2026-04-25,2026-04-25,2026-04-13,1572,158772,CA-95252,Y,Y,Y,N,,Y,Pub A,Rev 3,Completed
MEQ-040007,DEP-91000007,CDS,Pushout / Cancellation,PUSH,Pending,Asset Servicing,Meadowfield Energy plc,S228164,5STIX5565,US5STIX55650,Canada,Euroclear,DA-7441,Hold,Meadowfield Energy plc,S228164,US5STIX55650,4.7317,,,,,,15.5379,2025-07-08,2025-07-08,2025-07-17,2025-07-20,2025-06-26,3233,6362544,CA-42738,Y,Y,Y,Y,Reconciled with depository confirmation; variance within tolerance.,Y,Pub A,Rev 1,Completed
MEQ-040008,DEP-91000008,I&TS,Stock Dividend,STDV,Pending,Wealth Management,Doverpoint Aerospace SA,S585288,4VG8898ET,CA4VG8898ET5,Bermuda,Euroclear,DA-5563,Submit,Doverpoint Aerospace SA,S585288,CA4VG8898ET5,2.153,Kestrel Trust SA,S257090,BMYSJU4S4RP1,1.3117,EUR,7.4322,2026-03-03,2026-03-05,2026-03-19,2026-03-22,2026-02-21,1575,7032375,CA-87525,Y,Y,Y,N,,Y,Pub C,Rev 1,Completed
MEQ-040009,DEP-91000009,Issuer Direct,Rights Expiration,REXP,Closed,Direct Investing,Nightingale Pharmaceuticals SE,S437191,XBGFSKFEO,CAXBGFSKFEO4,United States,I&TS,DA-5941,Submit,Nightingale Pharmaceuticals SE,S437191,CAXBGFSKFEO4,1.2094,,,,,,,2025-11-22,2025-11-23,2025-11-28,,2025-11-16,339,1050561,CA-68054,N,N,N,N,,Y,Pub A,Rev 3,In Progress
MEQ-040010,DEP-91000010,Issuer Direct,Redemption,RDMP,Published,Direct Investing,Cedarwood Resources Ltd,S649062,WYKE9O860,BMWYKE9O8602,United Kingdom,CDS,DA-7331,Submit,Cedarwood Resources Ltd,S649062,BMWYKE9O8602,3.4649,,,,,,22.5427,2025-10-26,2025-10-27,2025-11-01,2025-11-02,2025-10-21,2989,9845766,CA-98851,Y,Y,Y,N,,Y,Pub A,Rev 2,Completed
MEQ-040011,DEP-91000011,Issuer Direct,Stock Dividend,STDV,Cancelled,Capital Markets,Evergreen Bank AG,S086943,WJ0U8M084,BMWJ0U8M0845,United States,I&TS,DA-4301,Submit,Evergreen Bank AG,S086943,BMWJ0U8M0845,3.3239,Brightcap Capital SA,S505299,CAJDI5ESH710,2.6058,USD,45.7023,2026-01-05,2026-01-06,2026-01-10,2026-01-11,2025-12-29,3286,5904942,CA-81251,Y,Y,Y,N,,Y,Pub A,Rev 2,Completed
MEQ-040012,DEP-91000012,Euroclear,Merger,MERG,Published,Asset Servicing,Ironbridge Energy SE,S815678,TB8CO0UAE,GBTB8CO0UAE2,Cayman Islands,I&TS,DA-5460,Submit,Ironbridge Energy SE,S815678,GBTB8CO0UAE2,0.8514,Evergreen Holdings plc,S017543,KY02WA2TS4W4,0.3546,USD,35.8171,2025-07-03,2025-07-05,2025-07-17,2025-07-18,2025-06-25,1270,2147570,CA-38946,Y,Y,Y,N,,Y,Pub C,Rev 3,Completed
MEQ-040013,DEP-91000013,CDS,Consolidation,CONS,Published,Wealth Management,Oakhill Industries SA,S918973,SV4W8AHWD,BMSV4W8AHWD9,Canada,Euroclear,DA-6172,Hold,Oakhill Industries SA,S918973,BMSV4W8AHWD9,2.0462,,,,,,14.3856,2025-10-05,2025-10-06,2025-10-17,,2025-09-25,991,85226,CA-44430,Y,N,N,N,,Y,Pub A,Rev 3,In Progress
MEQ-040014,DEP-91000014,DTC,Name Change,NAME,Published,Asset Servicing,Yarrow Aerospace Corp,S205100,9F29Z3D8B,GB9F29Z3D8B5,Bermuda,Euroclear,DA-1271,Submit,Yarrow Aerospace Corp,S205100,GB9F29Z3D8B5,0.5648,,,,,,,2025-07-02,2025-07-02,2025-07-09,,2025-06-21,817,3455093,CA-28678,N,N,N,N,,Y,Pub C,Rev 1,In Progress
MEQ-040015,DEP-91000015,I&TS,Cash and Shares,CASH,Closed,Direct Investing,Nightingale Bank Inc,S352887,UFPYRP15N,CAUFPYRP15N1,United States,DTC,DA-6802,Hold,Nightingale Bank Inc,S352887,CAUFPYRP15N1,4.2694,Zephyr Properties NV,S898920,US2V9BK9CQJ0,1.3839,EUR,49.4133,2026-02-08,2026-02-10,2026-02-21,2026-02-23,2026-01-26,1497,3735015,CA-72372,Y,Y,Y,Y,Reconciled with depository confirmation; variance within tolerance.,Y,Pub A,Rev 3,Completed
