Optional Dividend Event ID,Bank Event ID,DTC Event ID,Security Code,CUSIP,ISIN,Issuer,Record Date,Payable Date,DTC Expiration DateTime,BR Instruction Cutoff DateTime,Issuer Default Option,Option 1 Type,Option 1 Rate,Option 2 Type,Option 2 Rate,Cash Option Available Flag,Stock Option Available Flag,Default Option Number,REOR Event Created Flag,REOR Entry Code,DSNet Published Flag,TradeLink Available Date,Election Tracking Start Date,Election Tracking End Date,Total Holder Position,Cash Elected Quantity,Default Stock Quantity,Number of Elected Accounts,Operations Hub Report Used Flag,Broadridge Tag Updates Completed Flag,Cash Dividend Announcement Created Flag,DTC Instruction Submitted Flag,Entitlements Team Notified Flag,Final Election Status
ODV-070001,BNK-716050,DTC-2041077,S959780,REPZHFPJP,USREPZHFPJP8,Fairhaven Bank plc,2026-03-20,2026-04-12,2026-04-07T17:00:00,2026-04-05T12:00:00,Cash,Cash,4.3475,Stock,0.002844,Y,Y,1,Y,ODIV,Y,2026-03-21,2026-03-21,2026-04-06,1119207,978992,140215,1294,Y,Y,Y,Y,Y,Reconciled
ODV-070002,BNK-780971,DTC-2953760,S130331,JXIO6L01A,CAJXIO6L01A7,Quartz Peak Mining Inc,2025-09-30,2025-10-18,2025-10-04T17:00:00,2025-10-02T12:00:00,Cash,Cash,2.841,Stock,0.029674,Y,Y,1,Y,ODIV,Y,2025-10-01,2025-10-01,2025-10-03,2486040,1617073,868967,1066,Y,Y,Y,Y,Y,Confirmed
ODV-070003,BNK-732285,DTC-3827389,S442368,88CJZY7SJ,US88CJZY7SJ5,Westmark Capital Corp,2026-01-26,2026-02-19,2026-02-12T17:00:00,2026-02-10T12:00:00,Cash,Cash,3.9286,Stock,0.044139,Y,Y,1,Y,ODIV,Y,2026-01-27,2026-01-27,2026-02-11,1999072,930391,1068681,950,Y,Y,Y,Y,Y,Confirmed
ODV-070004,BNK-740622,DTC-5950162,S073457,P7AMV17FX,KYP7AMV17FX7,Riverstone Industries Ltd,2025-12-19,2026-01-03,2025-12-20T17:00:00,2025-12-18T12:00:00,Cash,Cash,3.4656,Stock,0.033089,Y,Y,1,Y,ODIV,Y,2025-12-20,2025-12-20,2025-12-19,2114023,933171,1180852,620,Y,Y,Y,Y,Y,Submitted
ODV-070005,BNK-769626,DTC-1501668,S505299,JDI5ESH71,CAJDI5ESH710,Cedarwood Trust,2025-10-23,2025-11-19,2025-11-10T17:00:00,2025-11-08T12:00:00,Stock,Cash,2.6405,Stock,0.049644,Y,Y,2,Y,ODIV,Y,2025-10-24,2025-10-24,2025-11-09,2780014,2368952,411062,66,Y,Y,Y,Y,Y,Submitted
ODV-070006,BNK-727925,DTC-2990545,S923489,ZNIAUSW0X,GBZNIAUSW0X2,Tideline Properties Inc,2025-07-01,2025-07-17,2025-07-10T17:00:00,2025-07-08T12:00:00,Cash,Cash,3.5132,Stock,0.004683,Y,Y,1,Y,ODIV,Y,2025-07-02,2025-07-02,2025-07-09,2924526,1512842,1411684,2976,Y,Y,Y,Y,Y,Confirmed
ODV-070007,BNK-778183,DTC-7397603,S432221,AYUUHZS0P,CAAYUUHZS0P3,Northstar Resources Corp,2025-07-05,2025-08-04,2025-07-24T17:00:00,2025-07-22T12:00:00,Cash,Cash,0.1135,Stock,0.004793,Y,Y,1,Y,ODIV,Y,2025-07-06,2025-07-06,2025-07-23,4856371,2963079,1893292,1131,Y,Y,Y,Y,Y,Reconciled
ODV-070008,BNK-791715,DTC-3621651,S246806,S98OAS50E,CAS98OAS50E2,Glenmoor Holdings Inc,2025-10-15,2025-11-12,2025-11-04T17:00:00,2025-11-02T12:00:00,Stock,Cash,2.9842,Stock,0.012573,Y,N,2,Y,ODIV,Y,2025-10-16,2025-10-16,2025-11-03,2728376,2250822,477554,96,Y,Y,Y,Y,Y,Submitted
ODV-070009,BNK-755032,DTC-6200549,S689913,DXGC9J90G,BMDXGC9J90G0,Westmark Capital Corp,2026-02-22,2026-03-13,2026-02-27T17:00:00,2026-02-25T12:00:00,Stock,Cash,1.3963,Stock,0.029601,Y,Y,2,Y,ODIV,Y,2026-02-23,2026-02-23,2026-02-26,3803903,3393413,410490,127,Y,Y,Y,Y,Y,Confirmed
ODV-070010,BNK-797953,DTC-9321085,S631348,G2MQSFUCZ,KYG2MQSFUCZ8,Glenmoor Holdings Inc,2025-09-13,2025-10-07,2025-09-27T17:00:00,2025-09-25T12:00:00,Cash,Cash,2.1688,Stock,0.031616,Y,N,1,Y,ODIV,Y,2025-09-14,2025-09-14,2025-09-26,998820,476165,522655,1596,Y,Y,Y,Y,Y,Confirmed
