Bulletin Review ID,Review Date,Previous Business Date,Depository,Bulletin ID,Depository Event ID,Report Type,Event Type,Sub Event Type,Release Type,CA Type,Security Name,Security Code,CUSIP,ISIN,SEDOL,Holder Check Performed Flag,Holder Check System,Holder Count,No Holders Flag,No Security Code Flag,Added To VES Flag,Added To No Holders Report Flag,Existing VES Record Flag,VES Status,VES New/Update Indicator,Input Date Updated Flag,Extension Required Flag,Update Required Flag,FIO Flag,TNA Flag,Forwarded To Processing Officer Flag,Forwarded To Publishing Officer Flag,Forwarded To Shareholder Services Flag,Routed To Mandatory Team Flag,Comment,Font Colour Indicator,Email Distribution Required Flag
BR-0080001,2025-10-03,2025-10-02,I&TS,BUL-I&TS-633857,DEP-09000001,PDF Binder,Consent Solicitation,,Final,,Evergreen Bank AG,S086943,WJ0U8M084,BMWJ0U8M0845,WQFP206,Y,DSNet,2033,N,N,Y,N,N,Pending,New,N,N,N,N,N,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Green,Y
BR-0080002,2025-10-13,2025-10-12,I&TS,BUL-I&TS-366129,DEP-09000001,Macro-Created Report,Consent Solicitation,,Update,,Evergreen Bank AG,S086943,WJ0U8M084,BMWJ0U8M0845,WQFP206,Y,Broadridge,2038,N,N,N,N,Y,Pending,Update,N,N,Y,N,N,Y,Y,N,N,Holder check confirms population.,Red,N
BR-0080003,2025-05-30,2025-05-29,CDS,BUL-CDS-294267,DEP-09000002,CDS Daily Bulletin,Annual Redemption Privilege,,Update,G,Brightcap Energy SE,S849963,EPUSLD2LR,KYEPUSLD2LR1,T0W13Q2,Y,Broadridge,2696,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,Y,N,Document package received from offeror.,Green,N
BR-0080004,2025-06-09,2025-06-08,CDS,BUL-CDS-303836,DEP-09000002,CDS Daily Bulletin,Annual Redemption Privilege,,Initial,M,Brightcap Energy SE,S849963,EPUSLD2LR,KYEPUSLD2LR1,T0W13Q2,Y,DSNet,2697,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Concurrent event flagged for procedure review.,Black,N
BR-0080005,2026-05-01,2026-04-30,DTC,BUL-DTC-390794,DEP-09000003,RPA Create with Position,Monthly Redemption Privilege,,Initial,,Westmark Communications NV,S699641,XZLLXH802,KYXZLLXH8020,9GMBZBP,Y,RCM,1178,N,N,Y,N,N,Closed,New,N,N,N,N,N,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Green,N
BR-0080006,2026-05-03,2026-05-02,DTC,BUL-DTC-785392,DEP-09000003,RPA Create with Position,Monthly Redemption Privilege,,Update,,Westmark Communications NV,S699641,XZLLXH802,KYXZLLXH8020,9GMBZBP,Y,DSNet,1183,N,N,N,N,Y,Closed,Update,N,N,Y,N,N,Y,Y,N,N,Document package received from offeror.,Blue,N
BR-0080007,2026-03-29,2026-03-28,DTC,BUL-DTC-766684,DEP-09000004,Declared Payable Redemptions,Dutch Auction,,Initial,,Cedarwood Bio Corp,S276997,BXHGDKLOM,GBBXHGDKLOM3,98R4WBP,Y,RCM,0,Y,N,Y,Y,N,Pending,New,N,N,N,N,N,N,N,N,N,Holder check confirms population.,Black,N
BR-0080008,2026-04-04,2026-04-03,DTC,BUL-DTC-536995,DEP-09000004,RPA Updated with Position,Dutch Auction,,Initial,,Cedarwood Bio Corp,S276997,BXHGDKLOM,GBBXHGDKLOM3,98R4WBP,Y,DSNet,3,N,N,N,N,Y,Pending,Update,N,N,Y,N,N,Y,Y,N,N,Document package received from offeror.,Blue,N
BR-0080009,2025-08-15,2025-08-14,CDS,BUL-CDS-750738,DEP-09000005,CDS Daily Bulletin,Consent Exchange Offer,,Initial,G,Kestrel Resources plc,S643872,SIDDRYO1O,GBSIDDRYO1O5,LS4NBYF,Y,REOR,3185,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,,Green,N
BR-0080010,2025-08-25,2025-08-24,CDS,BUL-CDS-499733,DEP-09000005,CDS Daily Bulletin,Consent Exchange Offer,,Final,G,Kestrel Resources plc,S643872,SIDDRYO1O,GBSIDDRYO1O5,LS4NBYF,Y,DSNet,3183,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Blue,N
BR-0080011,2025-11-17,2025-11-16,CDS,BUL-CDS-715500,DEP-09000006,CDS Daily Bulletin,Odd Lot Offer,,Initial,G,Juniper Resources AG,S009268,7PUVMP1BD,US7PUVMP1BD8,55FM52Z,Y,Broadridge,2724,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Update reflects revised expiry from depository.,Black,Y
BR-0080012,2026-01-01,2025-12-31,DTC,BUL-DTC-340927,DEP-09000007,RPA Create with Position,Early Tender Offer,,Final,,Doverpoint Energy Inc,S352499,0I0S2SFXQ,CA0I0S2SFXQ8,YNXT099,Y,RCM,1625,N,N,Y,N,N,On Hold,New,N,Y,N,N,N,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Green,N
BR-0080013,2026-01-10,2026-01-09,DTC,BUL-DTC-433490,DEP-09000007,Declared Payable Redemptions,Early Tender Offer,,Initial,,Doverpoint Energy Inc,S352499,0I0S2SFXQ,CA0I0S2SFXQ8,YNXT099,Y,REOR,1621,N,N,N,N,Y,On Hold,Update,N,N,Y,N,N,Y,Y,N,N,,Black,N
BR-0080014,2025-10-21,2025-10-20,DTC,BUL-DTC-289790,DEP-09000008,RPA Updated with Position,Tender Offer,,Final,,Zephyr Resources NV,S793154,GKHRT44H6,BMGKHRT44H63,NB5NXXY,Y,Broadridge,1922,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Update reflects revised expiry from depository.,Green,N
BR-0080015,2025-10-25,2025-10-24,DTC,BUL-DTC-679356,DEP-09000008,RPA Create with Position,Tender Offer,,Update,,Zephyr Resources NV,S793154,GKHRT44H6,BMGKHRT44H63,NB5NXXY,Y,RCM,1921,N,N,N,N,Y,Released,Update,N,Y,Y,N,N,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Green,Y
BR-0080016,2026-03-02,2026-03-01,Euroclear,BUL-Euroclear-251230,DEP-09000009,Euroclear Daily Notice,Consent Exchange Offer,,Update,,Doverpoint Logistics SE,S477620,65E1CH6RA,GB65E1CH6RA3,VD35GZV,Y,REOR,2337,N,N,Y,N,N,Pending,New,N,N,N,N,N,Y,Y,N,N,No holders identified; archived to NHR.,Black,N
BR-0080017,2026-03-13,2026-03-12,Euroclear,BUL-Euroclear-544314,DEP-09000009,Euroclear Daily Notice,Consent Exchange Offer,,Initial,,Doverpoint Logistics SE,S477620,65E1CH6RA,GB65E1CH6RA3,VD35GZV,Y,REOR,2332,N,N,N,N,Y,Pending,Update,N,Y,Y,N,N,Y,Y,N,N,Concurrent event flagged for procedure review.,Blue,N
BR-0080018,2025-06-01,2025-05-31,I&TS,BUL-I&TS-185528,DEP-09000010,Email Attachment,Annual Redemption Privilege,,Update,,Evergreen Resources Corp,S740340,JSRFS7ZJF,CAJSRFS7ZJF3,BCYW1LY,Y,DSNet,1406,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,No holders identified; archived to NHR.,Blue,Y
BR-0080019,2025-06-10,2025-06-09,I&TS,BUL-I&TS-599648,DEP-09000010,Email Attachment,Annual Redemption Privilege,,Final,,Evergreen Resources Corp,S740340,JSRFS7ZJF,CAJSRFS7ZJF3,BCYW1LY,Y,REOR,1402,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Red,N
BR-0080020,2026-04-28,2026-04-27,I&TS,BUL-I&TS-751637,DEP-09000011,Email Attachment,Consent Exchange Offer,,Update,,Doverpoint Aerospace NV,S079844,WJHIH191Z,CAWJHIH191Z8,XYG814T,Y,RCM,1835,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Concurrent event flagged for procedure review.,Red,N
BR-0080021,2026-05-07,2026-05-06,I&TS,BUL-I&TS-544713,DEP-09000011,Excel Conversion,Consent Exchange Offer,,Initial,,Doverpoint Aerospace NV,S079844,WJHIH191Z,CAWJHIH191Z8,XYG814T,Y,REOR,1832,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,Y,N,,Black,N
BR-0080022,2026-05-08,2026-05-07,I&TS,BUL-I&TS-599408,DEP-09000011,PDF Binder,Consent Exchange Offer,,Update,,Doverpoint Aerospace NV,S079844,WJHIH191Z,CAWJHIH191Z8,XYG814T,Y,Broadridge,1838,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Green,Y
BR-0080023,2025-06-03,2025-06-02,Euroclear,BUL-Euroclear-991168,DEP-09000012,Euroclear Daily Notice,Mini-Tender,,Final,,Doverpoint Logistics AG,S261918,2KJYFZQOM,GB2KJYFZQOM3,142DW4T,Y,RCM,2385,N,N,Y,N,N,Closed,New,N,N,N,N,N,Y,Y,N,N,Concurrent event flagged for procedure review.,Blue,Y
BR-0080024,2025-06-10,2025-06-09,Euroclear,BUL-Euroclear-906324,DEP-09000012,Euroclear Daily Notice,Mini-Tender,,Update,,Doverpoint Logistics AG,S261918,2KJYFZQOM,GB2KJYFZQOM3,142DW4T,Y,REOR,2382,N,N,N,N,Y,Closed,Update,N,Y,Y,N,N,Y,Y,N,N,No holders identified; archived to NHR.,Blue,N
BR-0080025,2025-06-12,2025-06-11,Euroclear,BUL-Euroclear-656367,DEP-09000012,Euroclear Daily Notice,Mini-Tender,,Update,,Doverpoint Logistics AG,S261918,2KJYFZQOM,GB2KJYFZQOM3,142DW4T,Y,REOR,2389,N,N,N,N,Y,Closed,Update,N,N,Y,N,N,Y,Y,N,N,No holders identified; archived to NHR.,Black,N
BR-0080026,2025-07-27,2025-07-26,I&TS,BUL-I&TS-702321,DEP-09000013,Email Attachment,Monthly Redemption Privilege,,Final,,Oakhill Capital Ltd,S175562,FMID9M4HJ,BMFMID9M4HJ7,95455HF,Y,DSNet,2519,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,Y,N,Holder check confirms population.,Red,Y
BR-0080027,2026-01-27,2026-01-26,CDS,BUL-CDS-131383,DEP-09000014,CDS Daily Bulletin,Tender Offer,,Initial,MWO,Riverstone Mining SA,S064793,WWNQC46JT,USWWNQC46JT9,XBPMX72,Y,RCM,1198,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,No holders identified; archived to NHR.,Red,N
BR-0080028,2026-02-03,2026-02-02,CDS,BUL-CDS-911946,DEP-09000014,CDS Daily Bulletin,Tender Offer,,Update,G,Riverstone Mining SA,S064793,WWNQC46JT,USWWNQC46JT9,XBPMX72,Y,RCM,1198,N,N,N,N,Y,Released,Update,N,Y,Y,N,N,Y,Y,N,N,Holder check confirms population.,Red,Y
BR-0080029,2025-10-15,2025-10-14,Euroclear,BUL-Euroclear-537168,DEP-09000015,Euroclear Daily Notice,Tender Offer,,Initial,,Doverpoint Media SE,S586514,B5LQ0YNTP,CAB5LQ0YNTP1,9K97ZQX,Y,RCM,1722,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Blue,Y
BR-0080030,2025-10-26,2025-10-25,Euroclear,BUL-Euroclear-474778,DEP-09000015,Euroclear Daily Notice,Tender Offer,,Update,,Doverpoint Media SE,S586514,B5LQ0YNTP,CAB5LQ0YNTP1,9K97ZQX,Y,RCM,1718,N,N,N,N,Y,Released,Update,N,Y,Y,N,N,Y,Y,Y,N,Document package received from offeror.,Black,N
BR-0080031,2025-08-09,2025-08-08,I&TS,BUL-I&TS-617830,DEP-09000016,Macro-Created Report,Rights Offering,,Final,,Brightcap Bank SA,S699326,O6QB2IAG0,CAO6QB2IAG06,F140X0B,Y,DSNet,479,N,N,Y,N,N,Pending,New,N,N,N,N,N,Y,Y,N,N,Document package received from offeror.,Green,N
BR-0080032,2025-09-17,2025-09-16,Euroclear,BUL-Euroclear-242638,DEP-09000017,Euroclear Daily Notice,Late Tender Offer,,Update,,Northstar Properties plc,S323064,CADBAYROA,GBCADBAYROA3,N07PG5G,Y,DSNet,3205,N,N,Y,N,N,Pending,New,N,N,N,N,N,Y,Y,N,N,Holder check confirms population.,Black,N
BR-0080033,2025-09-29,2025-09-28,Euroclear,BUL-Euroclear-823617,DEP-09000017,Euroclear Daily Notice,Late Tender Offer,,Initial,,Northstar Properties plc,S323064,CADBAYROA,GBCADBAYROA3,N07PG5G,Y,RCM,3207,N,N,N,N,Y,Pending,Update,N,N,Y,N,N,Y,Y,N,N,Holder check confirms population.,Red,N
BR-0080034,2025-09-21,2025-09-20,Euroclear,BUL-Euroclear-642876,DEP-09000017,Euroclear Daily Notice,Late Tender Offer,,Initial,,Northstar Properties plc,S323064,CADBAYROA,GBCADBAYROA3,N07PG5G,Y,RCM,3201,N,N,N,N,Y,Pending,Update,N,N,Y,N,N,Y,Y,Y,N,Document package received from offeror.,Green,Y
BR-0080035,2025-07-06,2025-07-05,CDS,BUL-CDS-416311,DEP-09000018,CDS Daily Bulletin,Mini-Tender,,Update,G,Meadowfield Capital SE,S469648,UT9KRWR57,GBUT9KRWR578,M6ZSKH6,Y,REOR,1152,N,N,Y,N,N,On Hold,New,N,N,N,N,N,Y,Y,N,N,No holders identified; archived to NHR.,Black,Y
BR-0080036,2025-07-14,2025-07-13,CDS,BUL-CDS-608718,DEP-09000018,CDS Daily Bulletin,Mini-Tender,,Update,M,Meadowfield Capital SE,S469648,UT9KRWR57,GBUT9KRWR578,M6ZSKH6,Y,REOR,1154,N,N,N,N,Y,On Hold,Update,N,N,Y,N,N,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Green,N
BR-0080037,2026-02-14,2026-02-13,DTC,BUL-DTC-465028,DEP-09000019,RPA Create with Position,Warrant Exercise,,Final,,Zephyr Communications plc,S519946,NOS5NV2EQ,USNOS5NV2EQ2,2GSKC6H,Y,REOR,2266,N,N,Y,N,N,Closed,New,N,N,N,N,N,Y,Y,N,N,,Red,Y
BR-0080038,2026-02-19,2026-02-18,DTC,BUL-DTC-139150,DEP-09000019,RPA Create with Position,Warrant Exercise,,Update,,Zephyr Communications plc,S519946,NOS5NV2EQ,USNOS5NV2EQ2,2GSKC6H,Y,RCM,2270,N,N,N,N,Y,Closed,Update,N,N,Y,N,N,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Blue,N
BR-0080039,2026-02-18,2026-02-17,DTC,BUL-DTC-733675,DEP-09000019,RPA Updated with Position,Warrant Exercise,,Update,,Zephyr Communications plc,S519946,NOS5NV2EQ,USNOS5NV2EQ2,2GSKC6H,Y,REOR,2270,N,N,N,N,Y,Closed,Update,N,N,Y,N,N,Y,Y,N,N,Update reflects revised expiry from depository.,Blue,Y
BR-0080040,2025-07-22,2025-07-21,I&TS,BUL-I&TS-669950,DEP-09000020,Excel Conversion,Odd Lot Offer,,Final,,Aldergrove Bank Inc,S821591,W9DJSSI40,CAW9DJSSI403,9TP23Z2,Y,RCM,2352,N,N,Y,N,N,Closed,New,N,N,N,N,N,Y,Y,N,N,Holder check confirms population.,Black,N
BR-0080041,2025-07-25,2025-07-24,I&TS,BUL-I&TS-715445,DEP-09000020,Email Attachment,Odd Lot Offer,,Initial,,Aldergrove Bank Inc,S821591,W9DJSSI40,CAW9DJSSI403,9TP23Z2,Y,RCM,2351,N,N,N,N,Y,Closed,Update,N,N,Y,N,N,Y,Y,N,N,Document package received from offeror.,Blue,N
BR-0080042,2025-07-27,2025-07-26,I&TS,BUL-I&TS-870395,DEP-09000020,Macro-Created Report,Odd Lot Offer,,Initial,,Aldergrove Bank Inc,S821591,W9DJSSI40,CAW9DJSSI403,9TP23Z2,Y,REOR,2351,N,N,N,N,Y,Closed,Update,N,Y,Y,N,N,Y,Y,Y,N,Update reflects revised expiry from depository.,Red,Y
