Voluntary Event ID,Bank Event ID,Depository Event ID,Depository,Security Name,Security Code,CUSIP,ISIN,SEDOL,Jurisdiction,Event Type,Offeror,New/Update Indicator,Event Status,Input Date,Release Date,Reorg Expiry Date,Issuer Expiry Date,Expiry Time,Special Handling Code,Publishing Officer,Processing Officer,Reviewer,Announcement Hyperlink,DSNet Published Flag,REOR Created Flag,TradeLink Available Flag,ServiceLink Instructions Flag,Number of Holders,Total Holdings,Tendered Shares,Number of Instructions,Over-Election Flag,Oversubscription Flag,Documentation Required Flag,Dutch Auction Flag,Concurrent Event Flag,Physical Certificate Required Flag,Final Status
VES-030001,BNK-0600001,DEP-09000001,I&TS,Evergreen Bank AG,S086943,WJ0U8M084,BMWJ0U8M0845,WQFP206,United States,Consent Solicitation,Northbridge Strategic,Update,Pending,2025-10-08,2025-10-10,2025-11-17,2025-11-19,20:00 ET,BR-MISMATCH,P. Officer A,Pr. Officer C,Rev B,https://internal.example/ann/30001,N,N,Y,N,2033,7101269,4504636,1301,N,N,N,N,N,N,Pending
VES-030002,BNK-0600002,DEP-09000002,CDS,Brightcap Energy SE,S849963,EPUSLD2LR,KYEPUSLD2LR1,T0W13Q2,United Kingdom,Annual Redemption Privilege,Stonecrest Partners,New,Released,2025-06-03,2025-06-05,2025-07-13,2025-07-15,18:00 ET,TIME-SENS,P. Officer B,Pr. Officer A,Rev B,https://internal.example/ann/30002,Y,Y,Y,Y,2696,7489488,2016835,2018,N,N,N,N,N,N,Released
VES-030003,BNK-0600003,DEP-09000003,DTC,Westmark Communications NV,S699641,XZLLXH802,KYXZLLXH8020,9GMBZBP,Canada,Monthly Redemption Privilege,Beacon Acquisition Corp,New,Closed,2026-05-02,2026-05-04,2026-06-10,2026-06-12,17:00 ET,BR-MISMATCH,P. Officer C,Pr. Officer A,Rev C,https://internal.example/ann/30003,Y,Y,N,N,1178,4199570,2269227,1131,N,N,N,N,N,N,Completed
VES-030004,BNK-0600004,DEP-09000004,DTC,Cedarwood Bio Corp,S276997,BXHGDKLOM,GBBXHGDKLOM3,98R4WBP,Bermuda,Dutch Auction,Ironclad Investments,Update,Pending,2026-04-02,2026-04-02,2026-04-29,2026-05-01,17:00 ET,BR-MISMATCH,P. Officer D,Pr. Officer C,Rev A,https://internal.example/ann/30004,N,N,N,Y,0,0,0,0,Y,N,N,Y,N,N,Pending
VES-030005,BNK-0600005,DEP-09000005,CDS,Kestrel Resources plc,S643872,SIDDRYO1O,GBSIDDRYO1O5,LS4NBYF,United States,Consent Exchange Offer,Kingfisher Capital,New,Released,2025-08-15,2025-08-17,2025-08-25,2025-08-27,17:00 ET,EXP-EXTN,P. Officer A,Pr. Officer B,Rev B,https://internal.example/ann/30005,Y,Y,Y,Y,3185,5691595,3235568,2986,N,N,N,N,N,N,Released
VES-030006,BNK-0600006,DEP-09000006,CDS,Juniper Resources AG,S009268,7PUVMP1BD,US7PUVMP1BD8,55FM52Z,United Kingdom,Odd Lot Offer,Issuer Itself,New,Released,2025-11-17,2025-11-19,2025-12-27,2025-12-29,12:00 ET,DOC-HEAVY,P. Officer C,Pr. Officer A,Rev B,https://internal.example/ann/30006,Y,Y,N,N,2724,3407724,1191452,1217,N,N,Y,N,N,Y,Released
VES-030007,BNK-0600007,DEP-09000007,DTC,Doverpoint Energy Inc,S352499,0I0S2SFXQ,CA0I0S2SFXQ8,YNXT099,United States,Early Tender Offer,Greylock Acquisition,New,On Hold,2026-01-06,2026-01-06,2026-02-07,2026-02-09,17:00 ET,DOC-HEAVY,P. Officer B,Pr. Officer A,Rev C,https://internal.example/ann/30007,N,N,Y,Y,1625,2479750,1303648,1487,N,N,N,N,Y,Y,On Hold
VES-030008,BNK-0600008,DEP-09000008,DTC,Zephyr Resources NV,S793154,GKHRT44H6,BMGKHRT44H63,NB5NXXY,Bermuda,Tender Offer,Capstone Holdings,New,Released,2025-10-23,2025-10-23,2025-11-27,2025-11-29,23:59 ET,DUAL-DEPO,P. Officer B,Pr. Officer D,Rev B,https://internal.example/ann/30008,Y,Y,Y,Y,1922,8783540,2469693,1204,N,N,N,N,N,N,Released
VES-030009,BNK-0600009,DEP-09000009,Euroclear,Doverpoint Logistics SE,S477620,65E1CH6RA,GB65E1CH6RA3,VD35GZV,Canada,Consent Exchange Offer,Northbridge Strategic,New,Pending,2026-03-07,2026-03-08,2026-03-25,2026-03-27,17:00 ET,EXP-EXTN,P. Officer C,Pr. Officer C,Rev C,https://internal.example/ann/30009,N,N,N,Y,2337,9193758,1473760,434,N,N,Y,N,N,N,Pending
VES-030010,BNK-0600010,DEP-09000010,I&TS,Evergreen Resources Corp,S740340,JSRFS7ZJF,CAJSRFS7ZJF3,BCYW1LY,United Kingdom,Annual Redemption Privilege,Northbridge Strategic,New,Released,2025-06-04,2025-06-06,2025-06-15,2025-06-17,12:00 ET,DUAL-DEPO,P. Officer C,Pr. Officer A,Rev B,https://internal.example/ann/30010,Y,Y,N,Y,1406,2648904,1329371,179,N,N,Y,N,N,N,Released
